date,services_inflation
2017-01-01,140.2
2017-01-02,140.2
2017-01-03,140.2
2017-01-04,140.2
2017-01-05,140.2
2017-01-06,140.2
2017-01-07,140.2
2017-01-08,140.2
2017-01-09,140.2
2017-01-10,140.2
2017-01-11,140.2
2017-01-12,140.2
2017-01-13,140.2
2017-01-14,140.2
2017-01-15,140.2
2017-01-16,140.2
2017-01-17,140.2
2017-01-18,140.2
2017-01-19,140.2
2017-01-20,140.2
2017-01-21,140.2
2017-01-22,140.2
2017-01-23,140.2
2017-01-24,140.2
2017-01-25,140.2
2017-01-26,140.2
2017-01-27,140.2
2017-01-28,140.2
2017-01-29,140.2
2017-01-30,140.2
2017-01-31,140.2
2017-02-01,140.7
2017-02-02,140.7
2017-02-03,140.7
2017-02-04,140.7
2017-02-05,140.7
2017-02-06,140.7
2017-02-07,140.7
2017-02-08,140.7
2017-02-09,140.7
2017-02-10,140.7
2017-02-11,140.7
2017-02-12,140.7
2017-02-13,140.7
2017-02-14,140.7
2017-02-15,140.7
2017-02-16,140.7
2017-02-17,140.7
2017-02-18,140.7
2017-02-19,140.7
2017-02-20,140.7
2017-02-21,140.7
2017-02-22,140.7
2017-02-23,140.7
2017-02-24,140.7
2017-02-25,140.7
2017-02-26,140.7
2017-02-27,140.7
2017-02-28,140.7
2017-03-01,141.1
2017-03-02,141.1
2017-03-03,141.1
2017-03-04,141.1
2017-03-05,141.1
2017-03-06,141.1
2017-03-07,141.1
2017-03-08,141.1
2017-03-09,141.1
2017-03-10,141.1
2017-03-11,141.1
2017-03-12,141.1
2017-03-13,141.1
2017-03-14,141.1
2017-03-15,141.1
2017-03-16,141.1
2017-03-17,141.1
2017-03-18,141.1
2017-03-19,141.1
2017-03-20,141.1
2017-03-21,141.1
2017-03-22,141.1
2017-03-23,141.1
2017-03-24,141.1
2017-03-25,141.1
2017-03-26,141.1
2017-03-27,141.1
2017-03-28,141.1
2017-03-29,141.1
2017-03-30,141.1
2017-03-31,141.1
2017-04-01,141.4
2017-04-02,141.4
2017-04-03,141.4
2017-04-04,141.4
2017-04-05,141.4
2017-04-06,141.4
2017-04-07,141.4
